"","Year","Month","Avg #OR","Avg #RT","Avg Tweets","# OR","# RT","#Total","Total Geo","Max Rt","MD RT","Max Like","MD Like"
"1","2020",1,5947,30576,35501,1958346,7852504,9810850,1773,674151,84095.5,334802,0
"2","2020",2,10978,29918,40604.5,7624648,21944443,29568948,8103,469739,50,637589,0
"3","2020",3,13095.5,44714.5,56283,12610824,46659589,59270412,19952,1064693,158.5,1255858,0
"4","2020",4,30091,89513,119859.5,20591357,60301889,80893244,38213,649823,36,662005,0
"5","2020",5,35163,99928.5,135709,26258213,73618083,99876289,47684,1007616,27,929811,0
"6","2020",6,51033,142569,193096,34786076,95171388,129957461,58138,790652,38.5,882693,0
"7","2020",7,53720.5,155042.5,209738.5,39611015,111876344,151487359,56808,615768,56,1287117,0
"8","2020",8,51330.5,143291.5,195037.5,37549475,102834375,140383850,55912,2183434,44,860162,0
"9","2020",9,50068.5,132040.5,182947.5,35861979,92957247,128819226,32381,1925489,37,839689,0
"10","2020",10,54489,137225,198708.5,41062885,104195279,144962625,319101,946810,40,785385,0
"11","2020",11,64125,111686.5,177062,45096171,77885575,122981746,26488,1187438,10,619643,0
"12","2020",12,64840,121149,186852.5,49065436,87366002,133179589,3277244,1402911,14,1038164,0
"13","2021",1,58225,134387,192272,40878618,92341359,133219977,24293,1437164,23,867275,0
"14","2021",2,47789.5,104467,152780.5,30916912,65130838,96047732,23977,971119,15,644697,0
"15","2021",3,51889,117776.5,168768.5,37803773,83103448,120907221,28788,1083628,17,599385,0
"16","2021",4,47350,128902.5,176534.5,34252762,90730535,124983296,24117,1111306,32,653537,0
"17","2021",5,45779,120864,166235,34427222,89269622,123696843,22669,3194460,34,697980,0
"18","2021",6,37719,84694,122890.5,16887040,38352582,55239122,11237,824584,22,413875,0
