"","LanguageLong","total","Percentage"
"1","English",1222094947,64.9450202392339
"2","Spanish; Castilian",243391932,12.9344237848373
"3","Portuguese",86373312,4.59008239068488
"4","French",54424396,2.89224131758732
"5","Bahasa",52683457,2.79972369539452
"6","Other",44872654,2.38463912265742
"7","German",28615728,1.52070756751146
"8","Japanese",21802908,1.15865817529982
"9","Italian",19728862,1.0484384581021
"10","Thai",19514866,1.03706620377339
"11","Hindi",16795635,0.892559827436866
"12","Turkish",16085775,0.854836185603477
"13","Dutch; Flemish",10369865,0.551079189024029
"14","Tagalog",9569456,0.508543558848753
"15","Catalan; Valencian",6735126,0.357920549019168
"16","Polish",3230407,0.171671479790484
"17","Arabic",2342701,0.124496680256279
"18","Tamil",2274665,0.120881086060556
"19","Russian",2142992,0.113883670948945
"20","Chinese",1879493,0.0998807099433154
"21","Greek, Modern (1453-)",1589913,0.0844917428200618
"22","Korean",1550719,0.0824088808218962
"23","Estonian",1406374,0.0747380456143334
"24","Swedish",1159890,0.0616393020118469
"25","Czech",965686,0.0513188414441131
"26","Romanian; Moldavian; Moldovan",924086,0.049108118906896
"27","Urdu",881282,0.0468334129577843
"28","Marathi",831156,0.044169598585175
"29","Haitian; Haitian Creole",721598,0.0383474269569914
"30","Danish",694435,0.0369039207964522
"31","Finnish",677712,0.0360152209649646
"32","Slovenian",450524,0.0239419125085873
"33","Lithuanian",440661,0.0234177693262658
"34","Telugu",429636,0.0228318747115346
"35","Ukrainian",416805,0.0221500049789617
"36","Gujarati",379412,0.0201628523867943
"37","Latvian",342874,0.018221136519851
"38","Kannada",292471,0.0155426017111165
"39","Persian",289824,0.0154019338612123
"40","Norwegian",267599,0.0142208447172303
"41","Bengali",263630,0.014009922655927
"42","Welsh",248157,0.0131876507852933
"43","Basque",234843,0.0124801132886465
"44","Vietnamese",229562,0.012199468439631
"45","Malayalam",188091,0.00999560126797394
"46","Nepali",182250,0.00968519669249592
"47","Oriya",163178,0.00867166543697174
"48","Hungarian",141430,0.00751592520285157
"49","Panjabi; Punjabi",86820,0.00461382044906719
"50","Serbian",64865,0.00344707974462962
"51","Icelandic",62273,0.00330933472500301
"52","Burmese",61600,0.00327356991087928
"53","Bulgarian",57490,0.00305515477559172
"54","Sinhala; Sinhalese",54981,0.00292182057256581
"55","Amharic",14320,0.000760998719542066
"56","Divehi; Dhivehi; Maldivian",12443,0.000661250493523878
"57","Pushto; Pashto",9890,0.00052557802627591
"58","Armenian",5744,0.000305249765715756
"59","Central Khmer",4338,0.00023053159534731
"60","Georgian",3642,0.000193544506743869
"61","Sindhi",3601,0.000191365669627862
"62","Lao",2061,0.00010952642185588
"63","Tibetan",462,2.45517743315946e-05
"64","Uighur; Uyghur",221,1.17444634789663e-05
