"","V1","V2","V4","total"
"1","2020",1,"#coronavirus",1682651
"2","2020",1,"#wuhan",311061
"3","2020",1,"#china",272759
"4","2020",1,"#coronavirusoutbreak",81587
"5","2020",1,"#wuhancoronavirus",75525
"6","2020",2,"#coronavirus",3725382
"7","2020",2,"#covid19",680902
"8","2020",2,"#china",640933
"9","2020",2,"#wuhan",360844
"10","2020",2,"#coronavirusoutbreak",154486
"11","2020",3,"#coronavirus",4905626
"12","2020",3,"#covid19",3702412
"13","2020",3,"#covid<u+30fc>19",569439
"14","2020",3,"#corona",150423
"15","2020",3,"#covid2019",122756
"16","2020",4,"#covid19",6185638
"17","2020",4,"#coronavirus",4550657
"18","2020",4,"#stayhome",591431
"19","2020",4,"#covid",526357
"20","2020",4,"#covid<u+30fc>19",322735
"21","2020",5,"#covid19",6667390
"22","2020",5,"#coronavirus",4541717
"23","2020",5,"#covid",787328
"24","2020",5,"#stayhome",361755
"25","2020",5,"#covid<u+30fc>19",343572
"26","2020",6,"#covid19",9731431
"27","2020",6,"#coronavirus",3845994
"28","2020",6,"#covid",813911
"29","2020",6,"#stayhome",265989
"30","2020",6,"#covid<u+30fc>19",181537
"31","2020",7,"#covid19",9915172
"32","2020",7,"#coronavirus",3709599
"33","2020",7,"#covid",1048590
"34","2020",7,"#covid<u+30fc>19",650998
"35","2020",7,"#corona",108607
"36","2020",8,"#covid19",9018763
"37","2020",8,"#coronavirus",2828411
"38","2020",8,"#covid",818523
"39","2020",8,"#modijipostponejeeneet",394921
"40","2020",8,"#swamyjihelpjeeneet",358124
"41","2020",9,"#covid19",8007635
"42","2020",9,"#coronavirus",2220017
"43","2020",9,"#covid",880648
"44","2020",9,"#wearamask",301460
"45","2020",9,"#covidー19",235592
"46","2020",10,"#covid19",6295757
"47","2020",10,"#coronavirus",1682752
"48","2020",10,"#covid",748892
"49","2020",10,"#endsars",349939
"50","2020",10,"#trump",134068
"51","2020",11,"#covid19",6123249
"52","2020",11,"#coronavirus",1489396
"53","2020",11,"#covid",902350
"54","2020",11,"#lockdown",187369
"55","2020",11,"#corona",98347
"56","2020",12,"#covid19",5780794
"57","2020",12,"#coronavirus",1292900
"58","2020",12,"#covid",861544
"59","2020",12,"#lockdown",181233
"60","2020",12,"#covidー19",124871
"61","2021",1,"#covid19",6665081
"62","2021",1,"#coronavirus",1229008
"63","2021",1,"#covid",889490
"64","2021",1,"#lockdown",345610
"65","2021",1,"#largestvaccinedrive",71659
"66","2021",2,"#covid19",4657584
"67","2021",2,"#coronavirus",779460
"68","2021",2,"#covid",609267
"69","2021",2,"#lockdown",228695
"70","2021",2,"#covidー19",58322
"71","2021",3,"#covid19",5502924
"72","2021",3,"#coronavirus",893257
"73","2021",3,"#covid",767861
"74","2021",3,"#lockdown",118891
"75","2021",3,"#activoscontraelvirus",107547
"76","2021",4,"#covid19",6887936
"77","2021",4,"#covid",1176113
"78","2021",4,"#coronavirus",1146594
"79","2021",4,"#corona",129954
"80","2021",4,"#india",117147
"81","2021",5,"#covid19",6370240
"82","2021",5,"#covid",1020801
"83","2021",5,"#coronavirus",956335
"84","2021",5,"#hopetogaza",96632
"85","2021",5,"#cancelboardexams",85771
"86","2021",6,"#covid19",2878239
"87","2021",6,"#covid",432737
"88","2021",6,"#coronavirus",394337
"89","2021",6,"#epex",134927
"90","2021",6,"#lockdown",133338
