"","Year","Month","Text","Count"
"1",2020,1,"british airways",14527
"2",2020,1,"cdc",12044
"3",2020,1,"huawei",6192
"4",2020,1,"super junior",4573
"5",2020,1,"senate",4303
"6",2020,2,"cdc",85263
"7",2020,2,"trump",21850
"8",2020,2,"cnn",10748
"9",2020,2,"fox news",10374
"10",2020,2,"bts",9398
"11",2020,4,"cdc",262486
"12",2020,4,"trump",253859
"13",2020,4,"nhs",229235
"14",2020,4,"cnn",130477
"15",2020,4,"world health organization",94884
"16",2020,5,"cdc",567300
"17",2020,5,"trump",311931
"18",2020,5,"cnn",136527
"19",2020,5,"congress",94853
"20",2020,5,"genovia",89766
"21",2020,6,"cdc",493317
"22",2020,6,"trump",342932
"23",2020,6,"icu",201285
"24",2020,6,"covid",161330
"25",2020,6,"eu",125718
"26",2020,7,"cdc",1779719
"27",2020,7,"trump",437346
"28",2020,7,"covid",188710
"29",2020,7,"cnn",86110
"30",2020,7,"senate",74076
"31",2020,8,"cdc",1129884
"32",2020,8,"usps",397750
"33",2020,8,"trump",308206
"34",2020,8,"fda",303527
"35",2020,8,"rnc",208100
"36",2020,9,"cdc",1703346
"37",2020,9,"trump",461010
"38",2020,9,"covid",452252
"39",2020,9,"senate",187000
"40",2020,9,"cnn",146749
"41",2020,10,"cdc",1123976
"42",2020,10,"senate",823780
"43",2020,10,"trump",681243
"44",2020,10,"covid",333027
"45",2020,10,"secret service",208692
"46",2020,11,"pfizer",565673
"47",2020,11,"covid",538470
"48",2020,11,"cdc",442380
"49",2020,11,"senate",356021
"50",2020,11,"trump",249284
"51",2020,12,"congress",636379
"52",2020,12,"pfizer",622625
"53",2020,12,"cdc",613353
"54",2020,12,"senate",385169
"55",2020,12,"fda",212644
"56",2021,1,"nhs",468408
"57",2021,1,"cdc",292347
"58",2021,1,"pfizer",256438
"59",2021,1,"covid",222963
"60",2021,1,"eu",207255
"61",2021,2,"cdc",663765
"62",2021,2,"senate",336179
"63",2021,2,"covid",198546
"64",2021,2,"nhs",190351
"65",2021,2,"pfizer",180168
"66",2021,3,"cdc",939902
"67",2021,3,"senate",436581
"68",2021,3,"eu",248949
"69",2021,3,"astrazeneca",222893
"70",2021,3,"nhs",155223
