"","Year","Month","Sentiment","Count","Avg_Per"
"1","2020",1,"negative",3936307,0.443228540395833
"2","2020",1,"neutral",4291158,0.512273238216667
"3","2020",1,"positive",391548,0.0444982213416667
"4","2020",2,"negative",8409525,0.453560793956897
"5","2020",2,"neutral",8670434,0.480567605198276
"6","2020",2,"positive",1198749,0.0658716008591954
"7","2020",3,"negative",16533099,0.445057612561828
"8","2020",3,"neutral",17214374,0.466088577297043
"9","2020",3,"positive",3189622,0.0888538101733871
"10","2020",4,"negative",23045515,0.446145251497222
"11","2020",4,"neutral",23697251,0.462633945744444
"12","2020",4,"positive",4538478,0.0912208027472222
"13","2020",5,"negative",32669339,0.471691736048387
"14","2020",5,"neutral",30880635,0.446799218768817
"15","2020",5,"positive",5584878,0.081509045188172
"16","2020",6,"negative",41515213,0.481248373433333
"17","2020",6,"neutral",37940992,0.432450535463889
"18","2020",6,"positive",7602628,0.0863010910763889
"19","2020",7,"negative",50499007,0.466758269487903
"20","2020",7,"neutral",47824023,0.444408542092742
"21","2020",7,"positive",9504422,0.0888331884072581
"22","2020",8,"negative",43885390,0.464684967554289
"23","2020",8,"neutral",41810620,0.444006703881954
"24","2020",8,"positive",8564701,0.0913083285278167
"25","2020",9,"negative",40808582,0.465037885711111
"26","2020",9,"neutral",38031967,0.438390434981944
"27","2020",9,"positive",8253069,0.0965716793069444
"28","2020",10,"negative",48650475,0.465237245526164
"29","2020",10,"neutral",45915067,0.441331858530596
"30","2020",10,"positive",9673100,0.0934308959593688
"31","2020",11,"negative",38248734,0.444708081051389
"32","2020",11,"neutral",37608577,0.438828199452778
"33","2020",11,"positive",9956819,0.116463719477778
"34","2020",12,"negative",43253209,0.450462538334677
"35","2020",12,"neutral",41938124,0.440295241704301
"36","2020",12,"positive",10234207,0.109242219954301
"37","2021",1,"negative",36185759,0.43490560697323
"38","2021",1,"neutral",37980488,0.457287035155808
"39","2021",1,"positive",8896679,0.107807357870962
"40","2021",2,"negative",24355248,0.422979084240183
"41","2021",2,"neutral",26383217,0.47127813257895
"42","2021",2,"positive",6214266,0.105742783180867
"43","2021",3,"negative",27860870,0.41625374679278
"44","2021",3,"neutral",31425491,0.471302789648568
"45","2021",3,"positive",7526151,0.112443463558653
"46","2021",4,"negative",28796743,0.40985326049399
"47","2021",4,"neutral",34554988,0.488155226630179
"48","2021",4,"positive",7237949,0.101991512875831
"49","2021",5,"negative",30861799,0.407156549364713
"50","2021",5,"neutral",36886272,0.485525363746378
"51","2021",5,"positive",8172737,0.107318086888909
"52","2021",6,"negative",13218371,0.413112689681228
"53","2021",6,"neutral",15462250,0.482682254275499
"54","2021",6,"positive",3346788,0.104205056043274
